Page,Route(s),Recommendation,Primary improvement
Partners.tsx,/partners,SECONDARY — remove from primary nav,Outcome-first and task-focused.
PartnersApply.tsx,/partners/apply,SECONDARY — remove from primary nav,Outcome-first and task-focused.
PaymentResult.tsx,,KEEP — contextual/app,Outcome-first and task-focused.
PlatformRules.tsx,/platform-rules,KEEP/HUB — trust/legal,Outcome-first and task-focused.
Press.tsx,/press,SECONDARY — remove from primary nav,Outcome-first and task-focused.
Pricing.tsx,/pricing,KEEP — core funnel,"One pricing truth; separate activation, campaign spend, commission, tools."
Privacy.tsx,/privacy,KEEP/HUB — trust/legal,Outcome-first and task-focused.
PublisherApply.tsx,,KEEP — contextual/app,Outcome-first and task-focused.
PublisherProfile.tsx,/browse/:id,KEEP — core funnel,"Audience fit, placement, proof, price, request; no private contacts."
PublisherRelationships.tsx,,KEEP — contextual/app,Outcome-first and task-focused.
PublisherSuccess.tsx,/publisher-success,KEEP/CONSOLIDATE — content hub,Outcome-first and task-focused.
PublisherSuccessArticle.tsx,/publisher-success/:slug,KEEP/CONSOLIDATE — content hub,Outcome-first and task-focused.
ReachChecker.tsx,/reach-checker,KEEP — contextual/app,Outcome-first and task-focused.
Register.tsx,/register,KEEP — auth,Outcome-first and task-focused.
ResetPassword.tsx,/reset-password,KEEP — auth,Outcome-first and task-focused.
Roadmap.tsx,/roadmap,SECONDARY — remove from primary nav,Outcome-first and task-focused.
Safety.tsx,/trust/safety,KEEP/HUB — trust/legal,Outcome-first and task-focused.
SavedLists.tsx,/lists,KEEP — contextual/app,Outcome-first and task-focused.
SavedSearches.tsx,/saved-searches,KEEP — contextual/app,Outcome-first and task-focused.
Security.tsx,/security,KEEP/HUB — trust/legal,Outcome-first and task-focused.
Suburbs.tsx,/suburbs,KEEP — contextual/app,Outcome-first and task-focused.
Terms.tsx,/terms,KEEP/HUB — trust/legal,Outcome-first and task-focused.
TrackRedirect.tsx,/t/:slug,REVIEW,Outcome-first and task-focused.
Transparency.tsx,/transparency,KEEP/HUB — trust/legal,Outcome-first and task-focused.
TrustCentre.tsx,/trust,KEEP/HUB — trust/legal,Outcome-first and task-focused.
WorkWithUs.tsx,/work-with-us,SECONDARY — remove from primary nav,Outcome-first and task-focused.
